
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          4 K
System                           4 Services                   0      8,364 K
smss.exe                       316 Services                   0        532 K
csrss.exe                      428 Services                   0      1,996 K
wininit.exe                    476 Services                   0      2,568 K
services.exe                   564 Services                   0      4,764 K
lsass.exe                      572 Services                   0     10,412 K
svchost.exe                    668 Services                   0      9,276 K
svchost.exe                    708 Services                   0      7,716 K
svchost.exe                    828 Services                   0     19,848 K
svchost.exe                    856 Services                   0     87,444 K
svchost.exe                    896 Services                   0     43,832 K
svchost.exe                    980 Services                   0     14,916 K
igfxCUIService.exe             332 Services                   0      3,896 K
WUDFHost.exe                  1032 Services                   0     10,800 K
svchost.exe                   1120 Services                   0     21,296 K
wlanext.exe                   1200 Services                   0      7,820 K
conhost.exe                   1216 Services                   0        472 K
spoolsv.exe                   1304 Services                   0      5,036 K
svchost.exe                   1332 Services                   0      4,736 K
svchost.exe                   1360 Services                   0     17,948 K
svchost.exe                   1476 Services                   0      4,844 K
EvtEng.exe                    1544 Services                   0      6,712 K
RegSrvc.exe                   1700 Services                   0      2,976 K
svchost.exe                   1740 Services                   0      4,152 K
SynTPEnhService.exe           1756 Services                   0      1,916 K
valWBFPolicyService.exe       1896 Services                   0        740 K
MsMpEng.exe                   1948 Services                   0    347,292 K
ZeroConfigService.exe         1972 Services                   0      9,056 K
unsecapp.exe                  2368 Services                   0      2,136 K
WmiPrvSE.exe                  2540 Services                   0      4,996 K
NisSrv.exe                    2664 Services                   0      6,048 K
svchost.exe                   2756 Services                   0      7,240 K
GoogleCrashHandler.exe        3328 Services                   0        224 K
GoogleCrashHandler64.exe      3336 Services                   0        152 K
ValBioService.exe             3344 Services                   0     13,800 K
SearchIndexer.exe             3436 Services                   0     39,888 K
PresentationFontCache.exe      292 Services                   0      5,428 K
dasHost.exe                   2764 Services                   0      1,392 K
dllhost.exe                   5852 Services                   0     12,016 K
msdtc.exe                      432 Services                   0      7,360 K
WUDFHost.exe                  5440 Services                   0     12,616 K
csrss.exe                     6640 Console                    5     37,308 K
winlogon.exe                  6232 Console                    5      5,660 K
dwm.exe                       2752 Console                    5     23,372 K
SynTPEnh.exe                  4616 Console                    5     15,360 K
taskhostex.exe                6648 Console                    5     11,692 K
SwipeMonitor.exe              3940 Console                    5      8,880 K
conhost.exe                   2652 Console                    5      4,248 K
explorer.exe                  5808 Console                    5    130,928 K
igfxEM.exe                    4140 Console                    5      9,016 K
igfxHK.exe                    5816 Console                    5      6,956 K
igfxTray.exe                  3608 Console                    5      8,296 K
SynTPHelper.exe               5640 Console                    5      3,276 K
SkyDrive.exe                  4936 Console                    5     15,220 K
wscript.exe                   4828 Console                    5      9,972 K
wscript.exe                   6000 Console                    5      9,908 K
sublime_text.exe              4052 Console                    5     32,016 K
plugin_host.exe               5076 Console                    5     20,880 K
onenoteim.exe                  648 Console                    5     15,944 K
RuntimeBroker.exe             2384 Console                    5      8,976 K
WWAHost.exe                   2900 Console                    5        100 K
cmd.exe                       2128 Console                    5      2,272 K
conhost.exe                    548 Console                    5      6,060 K
jusched.exe                   5412 Console                    5        200 K
audiodg.exe                   5968 Services                   0      9,204 K
pycharm64.exe                 4480 Console                    5    265,804 K
fsnotifier64.exe              3376 Console                    5      1,444 K
conhost.exe                   4284 Console                    5      4,376 K
python.exe                     368 Console                    5     54,248 K
cmd.exe                       5428 Console                    5      2,048 K
tasklist.exe                  6036 Console                    5      5,840 K
WmiPrvSE.exe                  3252 Services                   0      6,144 K
