
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          4 K
System                           4 Services                   0     11,076 K
smss.exe                       312 Services                   0      1,036 K
csrss.exe                      420 Services                   0      4,340 K
wininit.exe                    468 Services                   0      4,432 K
services.exe                   568 Services                   0      6,560 K
lsass.exe                      576 Services                   0     13,576 K
svchost.exe                    648 Services                   0     12,860 K
svchost.exe                    692 Services                   0      9,052 K
svchost.exe                    836 Services                   0     21,612 K
svchost.exe                    864 Services                   0    107,752 K
svchost.exe                    884 Services                   0     41,296 K
svchost.exe                    948 Services                   0     15,512 K
igfxCUIService.exe             996 Services                   0      6,904 K
WUDFHost.exe                   612 Services                   0     19,184 K
svchost.exe                   1048 Services                   0     23,332 K
wlanext.exe                   1152 Services                   0     14,040 K
conhost.exe                   1160 Services                   0      2,800 K
spoolsv.exe                   1240 Services                   0     10,076 K
svchost.exe                   1288 Services                   0      6,108 K
svchost.exe                   1312 Services                   0     27,220 K
svchost.exe                   1412 Services                   0     10,276 K
EvtEng.exe                    1440 Services                   0     11,544 K
RegSrvc.exe                   1808 Services                   0      6,536 K
svchost.exe                   1832 Services                   0      6,596 K
SynTPEnhService.exe           1848 Services                   0      3,172 K
Tomcat8.exe                   2044 Services                   0    129,920 K
conhost.exe                   1424 Services                   0      2,968 K
valWBFPolicyService.exe        100 Services                   0      3,124 K
MsMpEng.exe                   1520 Services                   0    605,008 K
ZeroConfigService.exe         2052 Services                   0     13,996 K
unsecapp.exe                  2444 Services                   0      4,920 K
svchost.exe                   2864 Services                   0      6,156 K
WmiPrvSE.exe                  3108 Services                   0      8,924 K
SearchIndexer.exe             3452 Services                   0     43,184 K
NisSrv.exe                    3800 Services                   0      4,552 K
GoogleCrashHandler.exe         704 Services                   0        212 K
GoogleCrashHandler64.exe      1120 Services                   0        108 K
ValBioService.exe             1164 Services                   0     17,728 K
dasHost.exe                   1428 Services                   0      4,200 K
MpCmdRun.exe                  4564 Services                   0      9,504 K
csrss.exe                     2752 Console                    4     32,768 K
winlogon.exe                  3460 Console                    4      5,900 K
dwm.exe                       3172 Console                    4     25,472 K
SynTPEnh.exe                  4068 Console                    4     15,564 K
taskhostex.exe                 644 Console                    4     10,856 K
explorer.exe                  6052 Console                    4    109,256 K
igfxEM.exe                    5344 Console                    4      9,308 K
igfxHK.exe                    4820 Console                    4      6,952 K
igfxTray.exe                  2428 Console                    4      8,044 K
SynTPHelper.exe               3868 Console                    4      3,280 K
SkyDrive.exe                  3096 Console                    4     14,540 K
RuntimeBroker.exe             1508 Console                    4      8,716 K
WWAHost.exe                   5732 Console                    4        148 K
onenoteim.exe                 1764 Console                    4     21,040 K
jusched.exe                   1748 Console                    4        112 K
SettingSyncHost.exe           4864 Console                    4      4,848 K
SwipeMonitor.exe              5596 Console                    4      9,160 K
conhost.exe                   6088 Console                    4      3,872 K
chrome.exe                    4144 Console                    4    243,036 K
chrome.exe                    4160 Console                    4      5,548 K
chrome.exe                    3196 Console                    4      5,964 K
chrome.exe                    3916 Console                    4     77,516 K
chrome.exe                    4092 Console                    4     36,796 K
chrome.exe                    5100 Console                    4     30,292 K
chrome.exe                    2112 Console                    4    283,776 K
chrome.exe                    3604 Console                    4     36,092 K
chrome.exe                    2756 Console                    4     50,112 K
chrome.exe                    4756 Console                    4     45,020 K
chrome.exe                    5420 Console                    4     45,004 K
chrome.exe                    4372 Console                    4     41,356 K
chrome.exe                    5412 Console                    4     44,816 K
IEMonitor.exe                 4392 Console                    4      5,824 K
chrome.exe                    1760 Console                    4     31,000 K
chrome.exe                    6020 Console                    4    124,604 K
chrome.exe                     548 Console                    4     36,152 K
pycharm64.exe                 3280 Console                    4    748,572 K
fsnotifier64.exe              3356 Console                    4      1,588 K
conhost.exe                   4304 Console                    4      3,884 K
winpty-agent.exe              2524 Console                    4      4,212 K
conhost.exe                   1220 Console                    4      5,584 K
cmd.exe                       5072 Console                    4      2,368 K
chrome.exe                    3188 Console                    4     85,784 K
chrome.exe                    5828 Console                    4     18,224 K
python.exe                    4148 Console                    4     26,128 K
conhost.exe                   5040 Console                    4      3,924 K
SearchProtocolHost.exe        2936 Services                   0      6,376 K
SearchFilterHost.exe          2448 Services                   0      5,332 K
cmd.exe                       3012 Console                    4      2,484 K
conhost.exe                   2372 Console                    4      5,344 K
python.exe                    5284 Console                    4     54,512 K
audiodg.exe                   5384 Services                   0      8,900 K
cmd.exe                       5668 Console                    4      2,032 K
tasklist.exe                  2096 Console                    4      5,800 K
WmiPrvSE.exe                  1252 Services                   0      6,060 K
