  PID TTY          TIME CMD
    1 ?        00:00:02 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 kworker/0:0
    4 ?        00:00:00 kworker/0:0H
    5 ?        00:00:00 kworker/u8:0
    6 ?        00:00:00 mm_percpu_wq
    7 ?        00:00:00 ksoftirqd/0
    8 ?        00:00:00 rcu_sched
    9 ?        00:00:00 rcu_bh
   10 ?        00:00:00 migration/0
   11 ?        00:00:00 watchdog/0
   12 ?        00:00:00 cpuhp/0
   13 ?        00:00:00 cpuhp/1
   14 ?        00:00:00 watchdog/1
   15 ?        00:00:00 migration/1
   16 ?        00:00:00 ksoftirqd/1
   17 ?        00:00:00 kworker/1:0
   18 ?        00:00:00 kworker/1:0H
   19 ?        00:00:00 cpuhp/2
   20 ?        00:00:00 watchdog/2
   21 ?        00:00:00 migration/2
   22 ?        00:00:00 ksoftirqd/2
   23 ?        00:00:00 kworker/2:0
   24 ?        00:00:00 kworker/2:0H
   25 ?        00:00:00 cpuhp/3
   26 ?        00:00:00 watchdog/3
   27 ?        00:00:00 migration/3
   28 ?        00:00:00 ksoftirqd/3
   29 ?        00:00:00 kworker/3:0
   30 ?        00:00:00 kworker/3:0H
   31 ?        00:00:00 kdevtmpfs
   32 ?        00:00:00 netns
   33 ?        00:00:00 rcu_tasks_kthre
   34 ?        00:00:00 kauditd
   35 ?        00:00:00 kworker/2:1
   36 ?        00:00:00 kworker/3:1
   37 ?        00:00:00 kworker/0:1
   38 ?        00:00:00 khungtaskd
   39 ?        00:00:00 oom_reaper
   40 ?        00:00:00 writeback
   41 ?        00:00:00 kcompactd0
   42 ?        00:00:00 ksmd
   43 ?        00:00:00 khugepaged
   44 ?        00:00:00 crypto
   45 ?        00:00:00 kintegrityd
   46 ?        00:00:00 kblockd
   47 ?        00:00:00 kworker/1:1
   48 ?        00:00:00 ata_sff
   49 ?        00:00:00 md
   50 ?        00:00:00 edac-poller
   51 ?        00:00:00 devfreq_wq
   52 ?        00:00:00 watchdogd
   53 ?        00:00:00 kworker/u8:1
   54 ?        00:00:00 kworker/2:2
   56 ?        00:00:00 kswapd0
   57 ?        00:00:00 ecryptfs-kthrea
   99 ?        00:00:00 kthrotld
  100 ?        00:00:00 acpi_thermal_pm
  101 ?        00:00:00 kworker/u8:2
  106 ?        00:00:00 ipv6_addrconf
  115 ?        00:00:00 kstrp
  136 ?        00:00:00 charger_manager
  190 ?        00:00:00 kworker/0:3
  191 ?        00:00:00 kworker/3:2
  192 ?        00:00:00 scsi_eh_0
  193 ?        00:00:00 scsi_tmf_0
  194 ?        00:00:00 scsi_eh_1
  195 ?        00:00:00 scsi_tmf_1
  196 ?        00:00:00 kworker/u9:0
  197 ?        00:00:00 i915/signal:0
  198 ?        00:00:00 i915/signal:1
  199 ?        00:00:00 i915/signal:2
  200 ?        00:00:00 i915/signal:4
  201 ?        00:00:00 kworker/u8:3
  202 ?        00:00:00 kworker/2:3
  204 ?        00:00:00 kworker/2:1H
  207 ?        00:00:00 kworker/1:1H
  228 ?        00:00:00 jbd2/sda7-8
  229 ?        00:00:00 ext4-rsv-conver
  258 ?        00:00:00 kworker/3:1H
  261 ?        00:00:00 kworker/0:1H
  270 ?        00:00:00 systemd-journal
  293 ?        00:00:00 systemd-udevd
  297 ?        00:00:00 loop0
  357 ?        00:00:00 kworker/u9:1
  358 ?        00:00:00 kworker/u9:2
  366 ?        00:00:00 loop1
  367 ?        00:00:00 loop2
  369 ?        00:00:00 kmemstick
  370 ?        00:00:00 kworker/1:2
  371 ?        00:00:00 cfg80211
  377 ?        00:00:00 kworker/1:3
  394 ?        00:00:00 loop3
  407 ?        00:00:00 kworker/3:3
  409 ?        00:00:04 irq/53-iwlwifi
  410 ?        00:00:00 kworker/u8:4
  411 ?        00:00:00 kworker/u8:5
  468 ?        00:00:00 loop4
  486 ?        00:00:00 loop5
  513 ?        00:00:00 loop6
  524 ?        00:00:00 loop7
  526 ?        00:00:00 loop8
  529 ?        00:00:00 loop9
  531 ?        00:00:00 loop10
  533 ?        00:00:00 loop11
  542 ?        00:00:00 loop12
  550 ?        00:00:00 loop13
  551 ?        00:00:00 loop14
  552 ?        00:00:00 loop15
  562 ?        00:00:00 loop16
  563 ?        00:00:00 loop17
  564 ?        00:00:00 loop18
  566 ?        00:00:00 loop19
  572 ?        00:00:00 loop20
  811 ?        00:00:00 systemd-resolve
  813 ?        00:00:00 systemd-timesyn
  838 ?        00:00:00 thermald
  839 ?        00:00:00 udisksd
  840 ?        00:00:00 avahi-daemon
  843 ?        00:00:00 irqbalance
  845 ?        00:00:00 networkd-dispat
  849 ?        00:00:00 accounts-daemon
  851 ?        00:00:01 dbus-daemon
  853 ?        00:00:00 avahi-daemon
  855 ?        00:00:00 NetworkManager
  856 ?        00:00:00 rsyslogd
  857 ?        00:00:00 wpa_supplicant
